epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3133,1.5443,1.67166,1.40644,0.5856,0.58005,0.58183,0.31721,1.46234,1.55659,1.40456,0.0669604,0.000166028,0.000166028
2,167.419,1.41484,1.28123,1.32475,0.75785,0.65579,0.7172,0.43001,1.33659,1.24543,1.29373,0.0337904,0.000329401,0.000329401
3,250.072,1.38167,1.18595,1.30167,0.77754,0.7279,0.771,0.46183,1.32687,1.13254,1.2842,0.000617188,0.000489474,0.000489474
4,333.385,1.36201,1.13797,1.29393,0.74943,0.73897,0.75661,0.42486,1.43898,1.14935,1.32089,0.00048515,0.00048515,0.00048515
5,416.62,1.34373,1.09422,1.28322,0.77166,0.73434,0.77919,0.4758,1.3157,1.05555,1.25201,0.0004802,0.0004802,0.0004802
6,502.934,1.31331,1.05297,1.26487,0.78531,0.76757,0.80233,0.50388,1.28785,0.99628,1.26332,0.00047525,0.00047525,0.00047525
7,588.5,1.28169,1.0015,1.24309,0.79221,0.77865,0.82456,0.53011,1.22996,0.93783,1.22841,0.0004703,0.0004703,0.0004703
8,674.958,1.27381,0.97376,1.24302,0.81233,0.76544,0.81875,0.52102,1.22906,0.94008,1.21743,0.00046535,0.00046535,0.00046535
9,757.8,1.2637,0.96704,1.23381,0.82625,0.79134,0.83296,0.54255,1.2064,0.9049,1.21622,0.0004604,0.0004604,0.0004604
10,843.227,1.25481,0.94287,1.23571,0.83479,0.78953,0.83656,0.54225,1.18238,0.86729,1.19207,0.00045545,0.00045545,0.00045545
11,927.437,1.23088,0.92005,1.21457,0.81777,0.78815,0.83278,0.539,1.21068,0.88146,1.21363,0.0004505,0.0004505,0.0004505
12,1012.83,1.22845,0.91515,1.21701,0.80341,0.7571,0.79536,0.50973,1.21101,0.96655,1.21881,0.00044555,0.00044555,0.00044555
13,1095.21,1.21852,0.89538,1.20788,0.84844,0.79151,0.84745,0.56061,1.17327,0.83549,1.20771,0.0004406,0.0004406,0.0004406
14,1178.09,1.21388,0.88123,1.20471,0.82388,0.81026,0.84952,0.56011,1.17068,0.86438,1.19284,0.00043565,0.00043565,0.00043565
15,1261.96,1.21009,0.87572,1.20707,0.83288,0.78597,0.82576,0.54858,1.18408,0.87572,1.19746,0.0004307,0.0004307,0.0004307
16,1347.09,1.19451,0.86276,1.19571,0.82391,0.80854,0.84746,0.5709,1.15136,0.81402,1.16839,0.00042575,0.00042575,0.00042575
17,1430.86,1.19098,0.85471,1.19076,0.83704,0.81317,0.85517,0.56811,1.16093,0.8013,1.18992,0.0004208,0.0004208,0.0004208
18,1510.98,1.18404,0.83759,1.19162,0.81483,0.81833,0.81758,0.53902,1.15308,0.86264,1.19655,0.00041585,0.00041585,0.00041585
19,1591.07,1.18953,0.84144,1.19028,0.84479,0.80577,0.85934,0.57665,1.1444,0.80112,1.17613,0.0004109,0.0004109,0.0004109
20,1671.12,1.18179,0.82661,1.18486,0.83203,0.81873,0.85037,0.56951,1.14471,0.80714,1.17939,0.00040595,0.00040595,0.00040595
21,1751.21,1.16734,0.80757,1.18265,0.85105,0.81364,0.85279,0.57732,1.13552,0.77668,1.1733,0.000401,0.000401,0.000401
22,1831.39,1.1609,0.81029,1.17609,0.85123,0.80765,0.85763,0.56766,1.17072,0.78705,1.17125,0.00039605,0.00039605,0.00039605
23,1911.56,1.16229,0.8123,1.17925,0.84875,0.81007,0.84977,0.56329,1.16361,0.78525,1.1876,0.0003911,0.0003911,0.0003911
24,1991.79,1.15795,0.80034,1.17116,0.85128,0.82433,0.86613,0.58155,1.14865,0.75353,1.16421,0.00038615,0.00038615,0.00038615
25,2071.87,1.14722,0.78055,1.16652,0.82906,0.81176,0.85237,0.57397,1.14209,0.81871,1.17462,0.0003812,0.0003812,0.0003812
26,2152.16,1.15124,0.78044,1.16806,0.83598,0.82518,0.85484,0.57013,1.14571,0.79557,1.18208,0.00037625,0.00037625,0.00037625
27,2232.31,1.14458,0.77829,1.16135,0.84693,0.82336,0.86464,0.58407,1.14961,0.76527,1.1777,0.0003713,0.0003713,0.0003713
28,2312.47,1.1373,0.76378,1.16325,0.8606,0.80705,0.85941,0.58788,1.1186,0.75243,1.16426,0.00036635,0.00036635,0.00036635
29,2392.64,1.12682,0.76139,1.15532,0.85107,0.82598,0.86282,0.58437,1.13044,0.76089,1.17322,0.0003614,0.0003614,0.0003614
30,2472.89,1.12974,0.75619,1.15373,0.85033,0.8239,0.86984,0.59616,1.11956,0.74776,1.15788,0.00035645,0.00035645,0.00035645
31,2553.01,1.12879,0.75447,1.15128,0.83696,0.83323,0.86746,0.59546,1.11883,0.74446,1.15021,0.0003515,0.0003515,0.0003515
32,2633.17,1.1181,0.74776,1.14402,0.86261,0.82576,0.8733,0.60164,1.11644,0.72943,1.14969,0.00034655,0.00034655,0.00034655
33,2713.29,1.11127,0.73644,1.13827,0.86151,0.829,0.87502,0.60232,1.109,0.72189,1.15145,0.0003416,0.0003416,0.0003416
34,2793.38,1.11278,0.73724,1.14754,0.86174,0.82356,0.87293,0.5985,1.10026,0.73408,1.15775,0.00033665,0.00033665,0.00033665
35,2873.56,1.11382,0.73848,1.14193,0.86132,0.82183,0.87105,0.59836,1.11359,0.72694,1.15616,0.0003317,0.0003317,0.0003317
36,2953.68,1.09746,0.72115,1.1355,0.86251,0.82195,0.86782,0.5932,1.11817,0.73389,1.16609,0.00032675,0.00032675,0.00032675
37,3033.85,1.09769,0.72208,1.13757,0.85783,0.83001,0.87542,0.59815,1.11551,0.72482,1.16046,0.0003218,0.0003218,0.0003218
38,3114.02,1.09551,0.71577,1.13554,0.8625,0.83061,0.87197,0.59853,1.10656,0.73262,1.1573,0.00031685,0.00031685,0.00031685
39,3194,1.09192,0.71279,1.13584,0.85439,0.83555,0.87521,0.60477,1.10215,0.71655,1.15442,0.0003119,0.0003119,0.0003119
40,3274.14,1.07797,0.70178,1.12353,0.86005,0.83041,0.86912,0.59967,1.09964,0.71721,1.14514,0.00030695,0.00030695,0.00030695
41,3354.24,1.09242,0.71475,1.13274,0.83687,0.83796,0.86829,0.59987,1.09775,0.72009,1.14879,0.000302,0.000302,0.000302
42,3434.41,1.07288,0.69184,1.11766,0.85885,0.83323,0.86819,0.59988,1.09798,0.70908,1.15549,0.00029705,0.00029705,0.00029705
43,3514.52,1.07191,0.68788,1.11941,0.85726,0.8286,0.8719,0.60417,1.10118,0.70952,1.15189,0.0002921,0.0002921,0.0002921
44,3594.68,1.07235,0.68848,1.12426,0.85632,0.8431,0.87472,0.60162,1.10267,0.70328,1.16243,0.00028715,0.00028715,0.00028715
45,3674.77,1.06759,0.6906,1.12008,0.85576,0.84124,0.88021,0.61088,1.09088,0.69559,1.14293,0.0002822,0.0002822,0.0002822
46,3754.99,1.0608,0.67659,1.11612,0.86119,0.84095,0.88034,0.60786,1.09952,0.69486,1.15312,0.00027725,0.00027725,0.00027725
47,3835.06,1.06051,0.68114,1.1173,0.85399,0.83666,0.87809,0.61161,1.09275,0.70366,1.14944,0.0002723,0.0002723,0.0002723
48,3915.33,1.05333,0.67048,1.11165,0.85172,0.8353,0.86857,0.6006,1.09756,0.71408,1.15854,0.00026735,0.00026735,0.00026735
49,3995.48,1.04808,0.66816,1.10774,0.85328,0.83868,0.87683,0.60859,1.09743,0.70318,1.15866,0.0002624,0.0002624,0.0002624
50,4075.63,1.04932,0.66662,1.11153,0.86542,0.83283,0.87585,0.61269,1.09185,0.69378,1.15224,0.00025745,0.00025745,0.00025745
51,4155.82,1.04469,0.65689,1.1097,0.86992,0.83239,0.87773,0.61284,1.09002,0.69712,1.1516,0.0002525,0.0002525,0.0002525
52,4235.93,1.03376,0.64785,1.10335,0.85738,0.84431,0.88205,0.61639,1.08546,0.69028,1.14949,0.00024755,0.00024755,0.00024755
53,4316.16,1.03072,0.64745,1.10146,0.8524,0.85029,0.8748,0.60641,1.09756,0.69708,1.1544,0.0002426,0.0002426,0.0002426
54,4396.36,1.03647,0.6526,1.10363,0.86804,0.8373,0.87796,0.61007,1.09355,0.6862,1.14983,0.00023765,0.00023765,0.00023765
55,4476.48,1.0309,0.64507,1.09671,0.85956,0.8432,0.87358,0.60414,1.1047,0.69671,1.15284,0.0002327,0.0002327,0.0002327
56,4556.68,1.02443,0.64029,1.09568,0.86104,0.83807,0.87927,0.61174,1.09854,0.68743,1.15381,0.00022775,0.00022775,0.00022775
57,4636.81,1.01466,0.63544,1.09042,0.86349,0.83961,0.87452,0.60742,1.09573,0.68689,1.15481,0.0002228,0.0002228,0.0002228
58,4716.98,1.01318,0.6303,1.09325,0.86133,0.84491,0.87571,0.60993,1.0916,0.69009,1.15526,0.00021785,0.00021785,0.00021785
59,4797.13,1.00835,0.63032,1.0934,0.85747,0.8425,0.87389,0.60954,1.0946,0.69337,1.16427,0.0002129,0.0002129,0.0002129
