epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1241.98,1.04987,0.67218,1.08275,0.81955,0.82476,0.85219,0.58922,1.09932,0.78561,1.1305,0.00029705,0.00029705,0.00029705
43,1272.29,1.03652,0.67011,1.07455,0.80414,0.8172,0.84309,0.57934,1.11935,0.79927,1.13449,0.0002921,0.0002921,0.0002921
44,1302.89,1.03932,0.65919,1.07475,0.80907,0.83133,0.84847,0.58838,1.09415,0.78255,1.11705,0.00028715,0.00028715,0.00028715
45,1333.04,1.02422,0.65591,1.06846,0.83197,0.79946,0.83879,0.57665,1.11476,0.81833,1.13566,0.0002822,0.0002822,0.0002822
46,1363.08,1.02989,0.65148,1.06973,0.82005,0.819,0.83684,0.57889,1.10403,0.78781,1.12301,0.00027725,0.00027725,0.00027725
47,1393.13,1.01983,0.64671,1.06711,0.83212,0.79796,0.84169,0.57686,1.12292,0.81285,1.1383,0.0002723,0.0002723,0.0002723
48,1423.27,1.02028,0.64749,1.06565,0.80626,0.8178,0.8385,0.58053,1.10107,0.80668,1.13642,0.00026735,0.00026735,0.00026735
49,1453.26,1.00719,0.64155,1.06374,0.82288,0.82351,0.84389,0.58122,1.11417,0.79383,1.12424,0.0002624,0.0002624,0.0002624
50,1483.2,1.0056,0.63136,1.06342,0.81998,0.79567,0.83336,0.58004,1.1214,0.88502,1.12644,0.00025745,0.00025745,0.00025745
51,1513.42,1.01485,0.6398,1.06372,0.81448,0.81311,0.84386,0.58334,1.10883,0.80828,1.13541,0.0002525,0.0002525,0.0002525
52,1543.8,1.0068,0.63244,1.06174,0.81147,0.81239,0.83818,0.57628,1.11309,0.81586,1.1398,0.00024755,0.00024755,0.00024755
53,1574.02,1.00583,0.62895,1.06283,0.81708,0.8187,0.84547,0.58592,1.1054,0.80157,1.12482,0.0002426,0.0002426,0.0002426
54,1604.28,0.98693,0.61451,1.04829,0.81778,0.8042,0.83743,0.58539,1.09947,0.82077,1.12646,0.00023765,0.00023765,0.00023765
55,1634.47,0.99276,0.61641,1.05332,0.81676,0.81749,0.83806,0.58279,1.09352,0.79129,1.13018,0.0002327,0.0002327,0.0002327
56,1664.73,0.99169,0.61691,1.05123,0.8108,0.8193,0.83951,0.5791,1.12116,0.78955,1.12197,0.00022775,0.00022775,0.00022775
57,1694.9,0.9881,0.60876,1.04618,0.83385,0.81269,0.83964,0.58205,1.10151,0.77962,1.11967,0.0002228,0.0002228,0.0002228
