epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1993.24,1.05588,0.68714,1.09942,0.83977,0.81597,0.85699,0.58947,1.11865,0.74938,1.14433,0.00029705,0.00029705,0.00029705
43,2039.49,1.05387,0.68767,1.09639,0.84626,0.829,0.8571,0.58783,1.13159,0.74134,1.15515,0.0002921,0.0002921,0.0002921
44,2085.83,1.05552,0.68819,1.10054,0.84931,0.82699,0.86178,0.59308,1.12242,0.74102,1.1456,0.00028715,0.00028715,0.00028715
45,2132.13,1.05837,0.69027,1.1005,0.84781,0.81652,0.85819,0.5853,1.12055,0.74637,1.14364,0.0002822,0.0002822,0.0002822
46,2178.44,1.04399,0.67265,1.09061,0.84525,0.83021,0.85896,0.58975,1.12066,0.74226,1.14092,0.00027725,0.00027725,0.00027725
47,2224.83,1.04329,0.67567,1.09364,0.85804,0.81531,0.8642,0.5979,1.12149,0.73538,1.14476,0.0002723,0.0002723,0.0002723
48,2271.13,1.03577,0.66905,1.08815,0.85298,0.81974,0.85942,0.59182,1.12118,0.7378,1.14906,0.00026735,0.00026735,0.00026735
49,2317.39,1.03459,0.67102,1.08677,0.84907,0.81921,0.86551,0.59447,1.12775,0.73036,1.1461,0.0002624,0.0002624,0.0002624
50,2363.74,1.029,0.66079,1.08691,0.84282,0.82699,0.86129,0.59081,1.12817,0.73679,1.14827,0.00025745,0.00025745,0.00025745
51,2410,1.0269,0.6531,1.08368,0.84984,0.81959,0.86033,0.59467,1.1193,0.73948,1.14642,0.0002525,0.0002525,0.0002525
52,2456.3,1.01711,0.64904,1.07818,0.85407,0.82618,0.86388,0.59619,1.11686,0.72228,1.14416,0.00024755,0.00024755,0.00024755
53,2502.67,1.01475,0.64694,1.07908,0.84083,0.832,0.8593,0.58995,1.12301,0.73797,1.14592,0.0002426,0.0002426,0.0002426
54,2548.97,1.02158,0.65165,1.08149,0.84372,0.82859,0.85916,0.59223,1.12415,0.73336,1.14203,0.00023765,0.00023765,0.00023765
55,2595.26,1.01333,0.64348,1.07391,0.84153,0.82437,0.85057,0.58441,1.11965,0.73555,1.14208,0.0002327,0.0002327,0.0002327
56,2641.65,1.00795,0.64286,1.0715,0.85681,0.8207,0.85786,0.5917,1.12034,0.72518,1.14161,0.00022775,0.00022775,0.00022775
57,2687.95,1.00574,0.63491,1.06933,0.85915,0.82561,0.85963,0.59188,1.11962,0.72691,1.14042,0.0002228,0.0002228,0.0002228
58,2734.27,0.99833,0.63667,1.0712,0.85644,0.81954,0.8626,0.59563,1.11393,0.72304,1.13918,0.00021785,0.00021785,0.00021785
59,2780.54,0.99619,0.63268,1.06512,0.84145,0.83666,0.86329,0.5957,1.12052,0.72167,1.13702,0.0002129,0.0002129,0.0002129
60,2826.81,0.99867,0.62808,1.06405,0.85523,0.82356,0.85992,0.59246,1.1238,0.72465,1.14584,0.00020795,0.00020795,0.00020795
61,2873.09,0.98831,0.62844,1.06647,0.84858,0.82286,0.85469,0.59083,1.12228,0.7334,1.145,0.000203,0.000203,0.000203
62,2919.39,0.99032,0.61911,1.0628,0.8561,0.82437,0.86127,0.59543,1.11756,0.71831,1.14086,0.00019805,0.00019805,0.00019805
63,2965.62,0.98696,0.61496,1.06327,0.85221,0.83159,0.85883,0.59198,1.1186,0.72309,1.14606,0.0001931,0.0001931,0.0001931
64,3011.97,0.9873,0.61861,1.06188,0.85041,0.83182,0.86221,0.59552,1.12335,0.7111,1.14937,0.00018815,0.00018815,0.00018815
65,3058.28,0.98327,0.61785,1.06277,0.84697,0.82679,0.85966,0.59319,1.12183,0.71618,1.15106,0.0001832,0.0001832,0.0001832
66,3104.55,0.97759,0.61182,1.06004,0.8582,0.81088,0.86072,0.59368,1.12293,0.7211,1.14931,0.00017825,0.00017825,0.00017825
67,3150.89,0.97828,0.60765,1.06119,0.85149,0.81994,0.85947,0.59277,1.12616,0.72504,1.14893,0.0001733,0.0001733,0.0001733
