epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2227.73,1.07159,0.70332,1.09665,0.85088,0.82719,0.87135,0.59701,1.11434,0.72406,1.12272,0.00029705,0.00029705,0.00029705
43,2279.66,1.06943,0.70234,1.09331,0.86128,0.83161,0.87648,0.60563,1.10686,0.70374,1.11353,0.0002921,0.0002921,0.0002921
44,2333.48,1.07225,0.70068,1.09395,0.85275,0.82356,0.86811,0.59917,1.10504,0.72862,1.11462,0.00028715,0.00028715,0.00028715
45,2389.35,1.06915,0.70577,1.09087,0.85044,0.8395,0.87504,0.5994,1.10804,0.71381,1.1159,0.0002822,0.0002822,0.0002822
46,2441.79,1.06046,0.6878,1.08513,0.84801,0.84209,0.87847,0.60803,1.1122,0.71549,1.12106,0.00027725,0.00027725,0.00027725
47,2492.85,1.05833,0.6921,1.08972,0.85808,0.83295,0.87464,0.60115,1.10666,0.71068,1.11719,0.0002723,0.0002723,0.0002723
48,2543.85,1.05392,0.68603,1.08358,0.85751,0.83082,0.87141,0.60172,1.10558,0.70735,1.12063,0.00026735,0.00026735,0.00026735
49,2594.87,1.04842,0.68626,1.08344,0.84516,0.83907,0.8746,0.60615,1.09887,0.71214,1.11565,0.0002624,0.0002624,0.0002624
50,2645.76,1.04341,0.67633,1.07732,0.85423,0.84034,0.87592,0.60682,1.10215,0.70109,1.1146,0.00025745,0.00025745,0.00025745
51,2696.78,1.04082,0.66913,1.07682,0.85823,0.83625,0.88223,0.61531,1.09519,0.69381,1.10831,0.0002525,0.0002525,0.0002525
52,2747.65,1.03416,0.66082,1.07174,0.85275,0.83864,0.87528,0.60693,1.10043,0.69895,1.11485,0.00024755,0.00024755,0.00024755
53,2798.62,1.02822,0.66219,1.07354,0.85655,0.83703,0.87636,0.60717,1.10219,0.69713,1.11567,0.0002426,0.0002426,0.0002426
54,2849.56,1.03715,0.66466,1.07968,0.86587,0.82578,0.87598,0.60616,1.10165,0.6962,1.11698,0.00023765,0.00023765,0.00023765
55,2900.6,1.02364,0.65637,1.07168,0.86808,0.82981,0.87562,0.60561,1.10881,0.69531,1.11329,0.0002327,0.0002327,0.0002327
56,2951.47,1.02009,0.65508,1.06882,0.84932,0.83464,0.87463,0.60669,1.10594,0.7044,1.12058,0.00022775,0.00022775,0.00022775
57,3002.51,1.01821,0.64673,1.0658,0.84785,0.835,0.87558,0.60548,1.10734,0.70043,1.12097,0.0002228,0.0002228,0.0002228
58,3053.39,1.01187,0.64477,1.06486,0.85322,0.83126,0.87946,0.6095,1.10724,0.69622,1.12165,0.00021785,0.00021785,0.00021785
59,3104.4,1.01169,0.64629,1.06715,0.84812,0.84028,0.87637,0.60939,1.10123,0.69179,1.12108,0.0002129,0.0002129,0.0002129
60,3155.28,1.01581,0.63775,1.06159,0.85686,0.82316,0.87227,0.60752,1.10016,0.70345,1.11414,0.00020795,0.00020795,0.00020795
61,3206.27,1.00378,0.63728,1.06443,0.84672,0.83668,0.87209,0.6064,1.09949,0.70584,1.12168,0.000203,0.000203,0.000203
62,3257.21,1.00407,0.63665,1.05966,0.85699,0.82558,0.8736,0.60619,1.10724,0.7045,1.12378,0.00019805,0.00019805,0.00019805
63,3308.16,0.99934,0.62727,1.05865,0.86173,0.82518,0.8727,0.60527,1.10585,0.69939,1.11741,0.0001931,0.0001931,0.0001931
64,3359.03,0.99884,0.63398,1.05547,0.85285,0.83122,0.87153,0.60223,1.10689,0.70776,1.1204,0.00018815,0.00018815,0.00018815
65,3410.01,0.99928,0.62984,1.05825,0.86288,0.82034,0.87211,0.60309,1.10484,0.70616,1.11081,0.0001832,0.0001832,0.0001832
66,3460.86,0.98756,0.62153,1.05263,0.86577,0.82034,0.87231,0.60567,1.108,0.70583,1.12059,0.00017825,0.00017825,0.00017825
67,3511.88,0.99223,0.62128,1.05639,0.86819,0.82383,0.87615,0.60783,1.11031,0.6953,1.12418,0.0001733,0.0001733,0.0001733
68,3562.78,0.98163,0.61403,1.05312,0.86272,0.82781,0.87329,0.60515,1.10279,0.69945,1.11696,0.00016835,0.00016835,0.00016835
69,3613.72,0.9808,0.60955,1.04823,0.84604,0.83907,0.87336,0.60523,1.10915,0.70138,1.11851,0.0001634,0.0001634,0.0001634
70,3664.63,0.9755,0.61079,1.04745,0.8591,0.8289,0.87496,0.60701,1.10861,0.70126,1.12135,0.00015845,0.00015845,0.00015845
71,3715.64,0.97444,0.60899,1.04687,0.85904,0.83082,0.87484,0.60916,1.10882,0.70277,1.12083,0.0001535,0.0001535,0.0001535
72,3766.53,0.96358,0.59916,1.04083,0.85543,0.83306,0.87567,0.60938,1.10804,0.69802,1.12231,0.00014855,0.00014855,0.00014855
73,3817.51,0.9725,0.60391,1.04596,0.85447,0.83373,0.87421,0.60832,1.10804,0.69907,1.1247,0.0001436,0.0001436,0.0001436
74,3868.5,0.96468,0.60372,1.04427,0.85319,0.83223,0.87438,0.60827,1.10672,0.70402,1.12129,0.00013865,0.00013865,0.00013865
75,3919.38,0.95988,0.5985,1.03964,0.85432,0.83082,0.873,0.60633,1.11011,0.70424,1.12103,0.0001337,0.0001337,0.0001337
76,3970.4,0.96142,0.59461,1.03868,0.84815,0.83726,0.87497,0.60721,1.1078,0.70148,1.12039,0.00012875,0.00012875,0.00012875
77,4021.21,0.95553,0.59375,1.03808,0.85847,0.828,0.87584,0.607,1.10736,0.69871,1.12323,0.0001238,0.0001238,0.0001238
78,4072.22,0.95022,0.58932,1.03796,0.85538,0.83082,0.87487,0.60585,1.10884,0.70246,1.12445,0.00011885,0.00011885,0.00011885
79,4123.03,0.94353,0.58779,1.03478,0.85623,0.83404,0.87627,0.608,1.10826,0.70162,1.12442,0.0001139,0.0001139,0.0001139
80,4173.97,0.94798,0.58788,1.0334,0.85692,0.83404,0.87596,0.6078,1.10666,0.70478,1.12129,0.00010895,0.00010895,0.00010895
81,4224.82,0.94443,0.58494,1.03299,0.8543,0.83223,0.87462,0.6091,1.10384,0.70423,1.1213,0.000104,0.000104,0.000104
82,4276.02,0.93857,0.58117,1.02955,0.85596,0.83364,0.87349,0.60897,1.10476,0.70399,1.12158,9.905e-05,9.905e-05,9.905e-05
83,4326.51,0.93236,0.57683,1.03155,0.85233,0.83583,0.87362,0.60789,1.1072,0.70198,1.12072,9.41e-05,9.41e-05,9.41e-05
84,4377.14,0.93049,0.57253,1.02771,0.8536,0.83565,0.87385,0.60736,1.10715,0.70168,1.12129,8.915e-05,8.915e-05,8.915e-05
85,4427.72,0.93026,0.57234,1.02969,0.85273,0.83847,0.874,0.6072,1.10965,0.70377,1.12353,8.42e-05,8.42e-05,8.42e-05
86,4478.38,0.9256,0.56867,1.02899,0.85446,0.83565,0.8722,0.60555,1.11224,0.70542,1.12641,7.925e-05,7.925e-05,7.925e-05
87,4528.93,0.92429,0.57123,1.02529,0.85194,0.83673,0.87233,0.60561,1.1125,0.7033,1.12693,7.43e-05,7.43e-05,7.43e-05
88,4579.57,0.92005,0.56942,1.02411,0.85259,0.83444,0.87243,0.60565,1.11335,0.70524,1.1273,6.935e-05,6.935e-05,6.935e-05
89,4630.1,0.91302,0.56134,1.01851,0.84794,0.83787,0.87284,0.60593,1.11266,0.70711,1.12609,6.44e-05,6.44e-05,6.44e-05
90,4680.72,0.91204,0.55995,1.02083,0.8567,0.83082,0.87224,0.60692,1.11307,0.70727,1.12671,5.945e-05,5.945e-05,5.945e-05
91,4731.97,0.82226,0.44316,0.96894,0.85127,0.83525,0.87198,0.60587,1.11273,0.70625,1.12778,5.45e-05,5.45e-05,5.45e-05
92,4782.99,0.8084,0.42918,0.96655,0.8588,0.828,0.87156,0.60469,1.11244,0.70485,1.12961,4.955e-05,4.955e-05,4.955e-05
93,4833.9,0.80289,0.42629,0.96107,0.8666,0.82302,0.87125,0.60441,1.11281,0.70454,1.13089,4.46e-05,4.46e-05,4.46e-05
94,4884.89,0.79585,0.42238,0.96206,0.86436,0.82526,0.87114,0.60505,1.11287,0.70546,1.13291,3.965e-05,3.965e-05,3.965e-05
95,4935.77,0.78891,0.41871,0.95692,0.85327,0.83276,0.87087,0.60536,1.11283,0.7063,1.13452,3.47e-05,3.47e-05,3.47e-05
96,4986.78,0.78323,0.41431,0.95511,0.85209,0.83404,0.87103,0.60563,1.11293,0.70742,1.13614,2.975e-05,2.975e-05,2.975e-05
97,5037.66,0.78223,0.41354,0.95448,0.85691,0.83122,0.87095,0.60557,1.11421,0.70901,1.13833,2.48e-05,2.48e-05,2.48e-05
98,5088.69,0.77349,0.41101,0.95169,0.85476,0.83213,0.87047,0.60563,1.11515,0.70881,1.13919,1.985e-05,1.985e-05,1.985e-05
99,5139.71,0.77352,0.40901,0.9513,0.85385,0.83263,0.87086,0.6056,1.11537,0.70823,1.14021,1.49e-05,1.49e-05,1.49e-05
100,5190.62,0.77066,0.40878,0.94918,0.86125,0.82477,0.87063,0.60602,1.1154,0.70807,1.14105,9.95e-06,9.95e-06,9.95e-06
