epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1074.21,1.04789,0.71619,1.10231,0.86032,0.79733,0.84915,0.5627,1.20262,0.80951,1.18996,0.00029705,0.00029705,0.00029705
43,1099.35,1.04686,0.70896,1.10415,0.83538,0.79965,0.82772,0.53869,1.21834,0.85709,1.2146,0.0002921,0.0002921,0.0002921
44,1125.02,1.03937,0.70198,1.09721,0.85064,0.77994,0.83046,0.53684,1.23484,0.87553,1.20729,0.00028715,0.00028715,0.00028715
45,1149.93,1.04062,0.70792,1.10268,0.84713,0.79128,0.83923,0.54828,1.21956,0.84291,1.196,0.0002822,0.0002822,0.0002822
46,1175.58,1.03886,0.70488,1.09676,0.85534,0.78369,0.83308,0.54371,1.21752,0.84998,1.20663,0.00027725,0.00027725,0.00027725
47,1201.38,1.02705,0.69491,1.0906,0.8633,0.78417,0.84277,0.55702,1.19598,0.82614,1.1942,0.0002723,0.0002723,0.0002723
48,1227.07,1.02277,0.6867,1.08676,0.84042,0.79774,0.83462,0.55477,1.19546,0.83773,1.20298,0.00026735,0.00026735,0.00026735
49,1251.74,1.02481,0.68773,1.08429,0.83049,0.78776,0.83513,0.55371,1.23361,0.86037,1.20763,0.0002624,0.0002624,0.0002624
50,1276.38,1.0154,0.68272,1.08321,0.81601,0.80934,0.83758,0.55952,1.20664,0.82075,1.18914,0.00025745,0.00025745,0.00025745
51,1301.04,1.02218,0.68795,1.08769,0.82746,0.7948,0.83214,0.54979,1.20647,0.86976,1.1924,0.0002525,0.0002525,0.0002525
52,1325.7,1.00502,0.673,1.07649,0.85822,0.77499,0.83645,0.5524,1.20974,0.83628,1.20485,0.00024755,0.00024755,0.00024755
53,1350.36,0.99634,0.67134,1.07575,0.84778,0.81422,0.84749,0.56658,1.20474,0.81494,1.20022,0.0002426,0.0002426,0.0002426
54,1376.12,0.99881,0.66695,1.07476,0.86377,0.77614,0.84208,0.56051,1.21258,0.82047,1.19648,0.00023765,0.00023765,0.00023765
55,1401.7,1.00563,0.66877,1.07938,0.8416,0.79781,0.84432,0.56206,1.19226,0.81316,1.19155,0.0002327,0.0002327,0.0002327
56,1426.83,0.98293,0.66063,1.06998,0.82161,0.80097,0.833,0.54697,1.21755,0.83885,1.20124,0.00022775,0.00022775,0.00022775
57,1452.01,0.9866,0.65198,1.069,0.85433,0.79279,0.83631,0.55929,1.19676,0.82005,1.1986,0.0002228,0.0002228,0.0002228
58,1477.59,0.97385,0.65412,1.06839,0.84441,0.80297,0.84139,0.55318,1.21837,0.8298,1.21196,0.00021785,0.00021785,0.00021785
59,1502.49,0.96887,0.64546,1.06319,0.86857,0.7915,0.84056,0.55444,1.20997,0.83101,1.19528,0.0002129,0.0002129,0.0002129
60,1527.4,0.96032,0.63359,1.05761,0.85129,0.79613,0.84123,0.5627,1.1999,0.81404,1.19945,0.00020795,0.00020795,0.00020795
61,1552.19,0.96543,0.64255,1.05598,0.85907,0.78378,0.84522,0.55974,1.19923,0.81356,1.19508,0.000203,0.000203,0.000203
62,1576.9,0.97485,0.63914,1.06124,0.85843,0.77763,0.84568,0.56502,1.20642,0.82984,1.19951,0.00019805,0.00019805,0.00019805
63,1601.59,0.95789,0.63207,1.05658,0.85123,0.79365,0.83937,0.55997,1.20059,0.825,1.20559,0.0001931,0.0001931,0.0001931
64,1626.55,0.94983,0.62357,1.05238,0.85026,0.79262,0.84101,0.56232,1.1924,0.81435,1.19688,0.00018815,0.00018815,0.00018815
65,1651.37,0.948,0.6199,1.05395,0.85694,0.78072,0.84205,0.56309,1.1894,0.82408,1.19928,0.0001832,0.0001832,0.0001832
66,1676.02,0.94635,0.61836,1.05332,0.86008,0.77954,0.83204,0.556,1.19892,0.83376,1.19254,0.00017825,0.00017825,0.00017825
67,1700.87,0.94226,0.61663,1.04916,0.84099,0.79413,0.83533,0.5577,1.21227,0.82998,1.20367,0.0001733,0.0001733,0.0001733
68,1726.93,0.93098,0.61034,1.0442,0.83817,0.80735,0.84537,0.56586,1.18925,0.81106,1.18818,0.00016835,0.00016835,0.00016835
69,1752.16,0.94375,0.61475,1.04502,0.86426,0.79392,0.84223,0.56396,1.17838,0.80282,1.18653,0.0001634,0.0001634,0.0001634
70,1777.09,0.93666,0.61113,1.04625,0.85459,0.78644,0.84008,0.56141,1.19284,0.82013,1.19933,0.00015845,0.00015845,0.00015845
71,1802.62,0.92773,0.60826,1.04652,0.85058,0.7926,0.83803,0.56635,1.18803,0.83711,1.19102,0.0001535,0.0001535,0.0001535
72,1828.14,0.94118,0.61532,1.04594,0.85855,0.78846,0.84351,0.56645,1.19317,0.81383,1.19534,0.00014855,0.00014855,0.00014855
73,1853.41,0.91294,0.59444,1.03337,0.83995,0.80191,0.8363,0.55918,1.19323,0.81782,1.20226,0.0001436,0.0001436,0.0001436
74,1879.03,0.92789,0.60337,1.04221,0.85678,0.78556,0.83904,0.5622,1.19148,0.80804,1.20151,0.00013865,0.00013865,0.00013865
75,1904.47,0.90812,0.59113,1.03263,0.84358,0.80739,0.84422,0.56941,1.1723,0.8026,1.19388,0.0001337,0.0001337,0.0001337
76,1929.94,0.91028,0.59687,1.03621,0.83879,0.80191,0.84006,0.56557,1.18296,0.81715,1.19031,0.00012875,0.00012875,0.00012875
77,1955.39,0.90651,0.59503,1.0344,0.85687,0.78819,0.84217,0.56273,1.19064,0.81722,1.19508,0.0001238,0.0001238,0.0001238
78,1980.8,0.89091,0.5825,1.03008,0.84861,0.786,0.83457,0.56068,1.18978,0.83367,1.20313,0.00011885,0.00011885,0.00011885
79,2006.17,0.89776,0.57801,1.03111,0.85614,0.79524,0.84559,0.56819,1.17474,0.81361,1.18984,0.0001139,0.0001139,0.0001139
80,2031.23,0.88649,0.58144,1.02827,0.86603,0.78565,0.84203,0.56826,1.18143,0.81136,1.19593,0.00010895,0.00010895,0.00010895
81,2056.26,0.89435,0.58337,1.02851,0.87002,0.78109,0.84248,0.56437,1.18735,0.81642,1.19117,0.000104,0.000104,0.000104
82,2082.53,0.88404,0.58035,1.02718,0.86327,0.77763,0.84143,0.56363,1.19147,0.81892,1.19997,9.905e-05,9.905e-05,9.905e-05
83,2107.7,0.89002,0.57203,1.02587,0.85218,0.78188,0.83735,0.56415,1.191,0.82216,1.19485,9.41e-05,9.41e-05,9.41e-05
84,2133.44,0.88218,0.56859,1.0198,0.85762,0.79039,0.83725,0.56374,1.1931,0.82766,1.19524,8.915e-05,8.915e-05,8.915e-05
85,2159.63,0.88139,0.57251,1.0224,0.85631,0.7951,0.8434,0.56937,1.18789,0.81018,1.19549,8.42e-05,8.42e-05,8.42e-05
86,2185.76,0.87314,0.56344,1.01587,0.8661,0.78732,0.84555,0.56632,1.1899,0.80697,1.19547,7.925e-05,7.925e-05,7.925e-05
87,2211.91,0.87103,0.56173,1.01784,0.85292,0.79304,0.84708,0.57146,1.18188,0.80423,1.18874,7.43e-05,7.43e-05,7.43e-05
88,2237.9,0.87133,0.56244,1.01674,0.85648,0.79568,0.84349,0.56793,1.1878,0.81216,1.19703,6.935e-05,6.935e-05,6.935e-05
89,2263.99,0.87288,0.56903,1.0195,0.85591,0.79745,0.84359,0.56921,1.18183,0.80981,1.20148,6.44e-05,6.44e-05,6.44e-05
90,2290,0.84903,0.5498,1.01279,0.85227,0.79769,0.84525,0.56908,1.18257,0.80681,1.20122,5.945e-05,5.945e-05,5.945e-05
91,2316.22,0.76774,0.43265,0.95776,0.85758,0.79277,0.84122,0.56308,1.18368,0.80224,1.19957,5.45e-05,5.45e-05,5.45e-05
92,2342.18,0.75596,0.42557,0.95552,0.84979,0.80461,0.84618,0.56953,1.1887,0.80255,1.19916,4.955e-05,4.955e-05,4.955e-05
93,2368.1,0.74567,0.41465,0.95096,0.85468,0.79789,0.8458,0.57019,1.1877,0.79741,1.20629,4.46e-05,4.46e-05,4.46e-05
94,2394.22,0.74493,0.41341,0.95611,0.86303,0.78732,0.84388,0.56944,1.18904,0.8069,1.20824,3.965e-05,3.965e-05,3.965e-05
95,2420.22,0.72869,0.41014,0.94538,0.85934,0.79701,0.8463,0.57075,1.18841,0.80658,1.20857,3.47e-05,3.47e-05,3.47e-05
96,2445.98,0.73425,0.40528,0.94423,0.84908,0.80019,0.84502,0.57128,1.18801,0.80185,1.21012,2.975e-05,2.975e-05,2.975e-05
97,2471.7,0.72413,0.40142,0.94584,0.84151,0.81125,0.84699,0.57108,1.18745,0.80405,1.20891,2.48e-05,2.48e-05,2.48e-05
98,2497.58,0.71776,0.39973,0.94103,0.83988,0.81418,0.84573,0.5717,1.18609,0.80281,1.20551,1.985e-05,1.985e-05,1.985e-05
99,2523.45,0.71309,0.39658,0.93758,0.84798,0.80566,0.84549,0.57156,1.18393,0.80155,1.20558,1.49e-05,1.49e-05,1.49e-05
100,2549.33,0.71402,0.39724,0.94036,0.84533,0.80619,0.84611,0.57226,1.18533,0.80249,1.20599,9.95e-06,9.95e-06,9.95e-06
